,Short name,Full name
0,parsig_nom_sign,Номер (индекс) сигнала
1,parsig_n_fil,Длительность ИХ фильтра ПЧВО
2,parsig_n_dec,Коэффициент децимации по выходу ПЧВО
3,parsig_n_dfm,Кол-во дискретов ФМ на длительности сигнала
4,parsig_poly,Полином для расчета М-последовательности
5,parsig_n_tay,Длительность дискрета ФМ в мкс
6,parsig_Drp,Цена дискрета выдачи в долях «n_tay»
7,parsig_dev,Девиация частоты (только для ЛЧМ)
8,parsig_Kpot,Параметр для расчета потенциала
9,parsig_nsdv,Признак назначения режима бланкирования в 6МПК1
10,nstr,"Идентификатор строба приема, по битам"
11,ndnstr,Номер дискрета начала строба приема
12,dlstr,Длительность строба приема в дискретах изделия. Где МАХ
13,trpr_fg1,Частота 1-го гетеродина. Определяет значение несущей частоты изделия
14,trpr_r_phasepoint,Расстояние до точки фазирования (расстояние до источника сигнала).
15,tips,Тип строба
16,nvk,Номер канала в вертикальной поляризации
17,nhk,Номер канала в горизонтальной поляризации
18,prUWB,Режим работы РИ/РИСШ
19,reserve,Резерв 2 байта
20,nfaz,Способ фазирования приемного полотна
21,input_switch,"Коммутатор антенна / КС: 0 – антенна, 1 - КС"
22,trks,Код способа раздачи КС (выходные ключи)
23,reserve_1,Резерв 1 байт
24,kdiv_x,"Код дробления ФАР, указывает на количество независимо обрабатываемых фрагментов ФАР"
25,kdiv_y,"Код дробления ФАР, указывает на количество независимо обрабатываемых фрагментов ФАР"
26,trpr_npos,Номер позиции
27,trpr_mask_rec,Позиционная маска РЭК
28,attamps,Аттенюация ПСФ
29,fazkk,Код фазы контролируемого канала
30,fazopk,Код фазы опорного канала
31,mask_bc_ams,Маска блока связи с АМУ
32,mode_cont_unit,Код режима работы блоков контроля аналоговой части ПРМ и ПРД
33,kpg,Количество пеленгационных групп (лучей) в данном стробе
34,align_1,Выравнивание 6 байт
35,reserve_2,Резерв 6 байт
36,por_blank,Порог бланкирования
37,abs_value,Величина абсолютного порога
38,kgd,Число гипотез по дальности
39,shgd,Шаг гипотез по дальности в числе выборок по выходу ПЧВО
40,trace_ctrl,Маска срезов регистрации 232 блоков
41,fg2,Код частоты цифрового гетеродина.
42,nfgd_fu,Положение первой гипотезы по дальности в номерах гипотез
43,n1grs,Код частоты начала доплеровского диапазона относительно 0 Гц (шаг 19 Гц)
44,kgrs,Код величины доплеровского диапазона в числе гипотез по скорости. ЦМР=1
45,shgrs,Шаг гипотез по частоте (по р.с.) в Гц
46,magnitude_rel,Масштабный множитель для относительного порога
47,magnitude_fl,Масштабный множитель для плавающего порога
48,win_size_R,Размер окна вычисления сигмы для плавающего порога по гипотезам дальности
49,win_size_V,Размер окна вычисления сигмы для плавающего порога по скорости
50,thres_comb,Позиционный код комбинирования порогов
51,local_max,Битовое поле режимов постпороговой обработки
52,mask_pol,Побитовая маска поляризаций
53,prclb,Битовый признак применения калибровочного вектора
54,kolimp,Количество импульсов в некогерентной пачке
55,namplrs,Адреса массивов амплитудных распределений
56,tippc,Тип пеленгационной группы
57,union_pol,Способ объединения сигналов поляризаций
58,comm_ent_stream,Коммутатор входных потоков
59,mask232_0,Маска блоков ЦОС 0
60,mask232_1,Маска блоков ЦОС 1
61,hardw_model_mask,Маска использования строба аппаратурой/моделью
62,sign_ea,Управление некогерентным накоплением
63,num_ad,"Индекс углового направления, позволяющий вести параллельное некогерентное накопление"
64,align_2,Выравнивание 6 байт
65,nom_imob,Номер имитируемого объекта теста
66,pr_imit,Вид имитации для теста
67,nom_can,Номер канала
68,tip_z,Тип заявки (в нумерации источника)
69,nom_bar,Номер барьера
70,align_3,Выравнивание 6 байт
